,code,var
150,h0123-6,medio_calefaccion-Otro
151,h0124-1,combustible_calefaccion-Gas
152,h0124-2,combustible_calefaccion-Electricidad
153,h0124-3,combustible_calefaccion-Queroseno
154,h0124-4,combustible_calefaccion-Carbón mineral
155,h0124-5,combustible_calefaccion-Carbón vegetal
156,h0124-6,combustible_calefaccion-Leña o madera
157,h0124-7,combustible_calefaccion-Residuos agrícolas o de cultivos
158,h0124-8,combustible_calefaccion-Estiércol animal
159,h0124-9,combustible_calefaccion-Matojos o hierba
160,h0124-10,combustible_calefaccion-Otro combustible
161,h0125-1,propietario_vivienda-es rentada?
162,h0125-2,propietario_vivienda-es prestada?
163,h0125-3,propietario_vivienda-es propia pero la están pagando?
164,h0125-4,propietario_vivienda-es propia?
165,h0125-5,propietario_vivienda-está intestada o en litigio?
166,h0125-6,propietario_vivienda-está en otra situación?
167,h0126a-1,vivienda_calentador_agua-Sí
168,h0126a-2,vivienda_calentador_agua-No
169,h0126b-1,vivienda_tinaco-Sí
170,h0126b-2,vivienda_tinaco-No
171,h0126c-1,vivienda_aljibe-Sí
172,h0126c-2,vivienda_aljibe-No
173,h0126d-1,vivienda_medidor_luz-Sí
174,h0126d-2,vivienda_medidor_luz-No
175,h0126e-1,vivienda_aire_acondicionado-Sí
176,h0126e-2,vivienda_aire_acondicionado-No
177,h0127a-1,tiene_otra_propiedad-Sí
178,h0127a-2,tiene_otra_propiedad-No
179,h0127b-1,tiene_automovil-Sí
180,h0127b-2,tiene_automovil-No
181,h0127c-1,tiene_camioneta-Sí
182,h0127c-2,tiene_camioneta-No
183,h0127d-1,tiene_motocicleta-Sí
184,h0127d-2,tiene_motocicleta-No
185,h0127e-1,tiene_lancha-Sí
186,h0127e-2,tiene_lancha-No
187,h0327-1,"ingresos_totales-1- 5,999 pesos"
188,h0327-2,"ingresos_totales-6,000-9,999 pesos"
189,h0327-3,"ingresos_totales-10,000-13,999 pesos"
190,h0327-4,"ingresos_totales-14,000-21,999 pesos"
191,h0327-5,"ingresos_totales-22,000 o más pesos"
192,h0327-6,ingresos_totales-No percibieron ingresos
193,h0327-8,ingresos_totales-No quiso responder
194,h0327-9,ingresos_totales-No sabe
195,h0501a-1,tienen_television-Sí
196,h0501a-2,tienen_television-No
197,h0501b-1,tienen_television_paga-Sí
198,h0501b-2,tienen_television_paga-No
199,h0501c-1,tienen_radio-Sí
200,h0501c-2,tienen_radio-No
201,h0501d-1,tienen_stereo-Sí
202,h0501d-2,tienen_stereo-No
203,h0501e-1,tienen_computadora-Sí
204,h0501e-2,tienen_computadora-No
205,h0501f-1,tienen_celular-Sí
206,h0501f-2,tienen_celular-No
207,h0501g-1,tienen_internet-Sí
208,h0501g-2,tienen_internet-No
209,h0501h-1,tienen_telefono_fijo-Sí
210,h0501h-2,tienen_telefono_fijo-No
211,h0501i-1,tienen_plancha-Sí
212,h0501i-2,tienen_plancha-No
213,h0501j-1,tienen_licuadora-Sí
214,h0501j-2,tienen_licuadora-No
215,h0501k-1,tienen_refrigerador-Sí
216,h0501k-2,tienen_refrigerador-No
217,h0501l-1,tienen_gas-Sí
218,h0501l-2,tienen_gas-No
219,h0501m-1,tienen_estufa_no_gas-Sí
220,h0501m-2,tienen_estufa_no_gas-No
221,h0501n-1,tienen_lavadora-Sí
222,h0501n-2,tienen_lavadora-No
223,h0501o-1,tienen_horno_microondas-Sí
224,h0501o-2,tienen_horno_microondas-No
225,h0701-1,falta_alimentos_adultos-Sí
226,h0701-2,falta_alimentos_adultos-No
227,h0701-8,falta_alimentos_adultos-No responde
228,h0701-9,falta_alimentos_adultos-No sabe
229,h0702-1,sin_alimentos_adultos-Sí
230,h0702-2,sin_alimentos_adultos-No
231,h0702-8,sin_alimentos_adultos-No responde
232,h0702-9,sin_alimentos_adultos-No sabe
233,h0703-1,falta_alimento_nutritivo_adultos-Sí
234,h0703-2,falta_alimento_nutritivo_adultos-No
235,h0703-8,falta_alimento_nutritivo_adultos-No responde
236,h0703-9,falta_alimento_nutritivo_adultos-No sabe
237,h0704-1,poca_variedad_alimentos_adulto-Sí
238,h0704-2,poca_variedad_alimentos_adulto-No
239,h0704-8,poca_variedad_alimentos_adulto-No responde
240,h0704-9,poca_variedad_alimentos_adulto-No sabe
241,h0705-1,no_comio_alimentos_adulto-Sí
242,h0705-2,no_comio_alimentos_adulto-No
243,h0705-8,no_comio_alimentos_adulto-No responde
244,h0705-9,no_comio_alimentos_adulto-No sabe
245,h0706-1,comio_menos_alimentos_adulto-Sí
246,h0706-2,comio_menos_alimentos_adulto-No
247,h0706-8,comio_menos_alimentos_adulto-No responde
248,h0706-9,comio_menos_alimentos_adulto-No sabe
249,h0707-1,sintio_hambre_adulto-Sí
250,h0707-2,sintio_hambre_adulto-No
251,h0707-8,sintio_hambre_adulto-No responde
252,h0707-9,sintio_hambre_adulto-No sabe
253,h0708-1,una_o no_comida_adulto-Sí
254,h0708-2,una_o no_comida_adulto-No
255,h0708-8,una_o no_comida_adulto-No responde
256,h0708-9,una_o no_comida_adulto-No sabe
257,h0709-1,viven_menores_edad-Sí
258,h0709-2,viven_menores_edad-No
259,h0710-1,falta_alimento_nutritivo_menor-Sí
260,h0710-2,falta_alimento_nutritivo_menor-No
261,h0710-8,falta_alimento_nutritivo_menor-No responde
262,h0710-9,falta_alimento_nutritivo_menor-No sabe
263,h0711-1,poca_variedad_alimentos_menor-Sí
264,h0711-2,poca_variedad_alimentos_menor-No
265,h0711-8,poca_variedad_alimentos_menor-No responde
266,h0711-9,poca_variedad_alimentos_menor-No sabe
267,h0712-1,no_comio_alimentos_menor-Sí
268,h0712-2,no_comio_alimentos_menor-No
269,h0712-8,no_comio_alimentos_menor-No responde
270,h0712-9,no_comio_alimentos_menor-No sabe
271,h0713-1,comio_menos_alimentos_menor-Sí
272,h0713-2,comio_menos_alimentos_menor-No
273,h0713-8,comio_menos_alimentos_menor-No responde
274,h0713-9,comio_menos_alimentos_menor-No sabe
275,h0714-1,disminuir_alimento_menor-Sí
276,h0714-2,disminuir_alimento_menor-No
277,h0714-8,disminuir_alimento_menor-No responde
278,h0714-9,disminuir_alimento_menor-No sabe
279,h0715-1,sintio_hambre_menor-Sí
280,h0715-2,sintio_hambre_menor-No
281,h0715-8,sintio_hambre_menor-No responde
282,h0715-9,sintio_hambre_menor-No sabe
283,h0716-1,una_o no_comida_menor-Sí
284,h0716-2,una_o no_comida_menor-No
285,h0716-8,una_o no_comida_menor-No responde
286,h0716-9,una_o no_comida_menor-No sabe
287,h0801-1,preocupacion_acceso_agua-Nunca (0 veces en las últimas 4 semanas)
288,h0801-2,preocupacion_acceso_agua-Raramente (1-2 veces en las últimas 4 semanas)
289,h0801-3,preocupacion_acceso_agua-A veces (3-10 veces en las últimas 4 semanas)
290,h0801-4,preocupacion_acceso_agua-Frecuentemente (11-20 veces en las últimas 4 semana)
291,h0801-5,preocupacion_acceso_agua-Siempre (Más de 20 veces en las últimas 4 semanas)
292,h0801-88,preocupacion_acceso_agua-No aplica
293,h0801-99,preocupacion_acceso_agua-No sabe
294,h0802-1,disminucion_acceso_agua-Nunca (0 veces en las últimas 4 semanas)
295,h0802-2,disminucion_acceso_agua-Raramente (1-2 veces en las últimas 4 semanas)
296,h0802-3,disminucion_acceso_agua-A veces (3-10 veces en las últimas 4 semanas)
297,h0802-4,disminucion_acceso_agua-Frecuentemente (11-20 veces en las últimas 4 semana)
298,h0802-5,disminucion_acceso_agua-Siempre (Más de 20 veces en las últimas 4 semanas)
299,h0802-88,disminucion_acceso_agua-No aplica
300,h0802-99,disminucion_acceso_agua-No sabe
301,h0803-1,agua_lavar_ropa-Nunca (0 veces en las últimas 4 semanas)
302,h0803-2,agua_lavar_ropa-Raramente (1-2 veces en las últimas 4 semanas)
303,h0803-3,agua_lavar_ropa-A veces (3-10 veces en las últimas 4 semanas)
304,h0803-4,agua_lavar_ropa-Frecuentemente (11-20 veces en las últimas 4 semana)
305,h0803-5,agua_lavar_ropa-Siempre (Más de 20 veces en las últimas 4 semanas)
306,h0803-88,agua_lavar_ropa-No aplica
307,h0803-99,agua_lavar_ropa-No sabe
308,h0804-1,cambio_planes_falta_agua-Nunca (0 veces en las últimas 4 semanas)
309,h0804-2,cambio_planes_falta_agua-Raramente (1-2 veces en las últimas 4 semanas)
310,h0804-3,cambio_planes_falta_agua-A veces (3-10 veces en las últimas 4 semanas)
311,h0804-4,cambio_planes_falta_agua-Frecuentemente (11-20 veces en las últimas 4 semana)
312,h0804-5,cambio_planes_falta_agua-Siempre (Más de 20 veces en las últimas 4 semanas)
313,h0804-88,cambio_planes_falta_agua-No aplica
314,h0804-99,cambio_planes_falta_agua-No sabe
315,h0805-1,cambio_comida_falta_agua-Nunca (0 veces en las últimas 4 semanas)
316,h0805-2,cambio_comida_falta_agua-Raramente (1-2 veces en las últimas 4 semanas)
317,h0805-3,cambio_comida_falta_agua-A veces (3-10 veces en las últimas 4 semanas)
318,h0805-4,cambio_comida_falta_agua-Frecuentemente (11-20 veces en las últimas 4 semana)
319,h0805-5,cambio_comida_falta_agua-Siempre (Más de 20 veces en las últimas 4 semanas)
320,h0805-88,cambio_comida_falta_agua-No aplica
321,h0805-99,cambio_comida_falta_agua-No sabe
322,h0806-1,no_lavado_manos_falta_agua-Nunca (0 veces en las últimas 4 semanas)
323,h0806-2,no_lavado_manos_falta_agua-Raramente (1-2 veces en las últimas 4 semanas)
324,h0806-3,no_lavado_manos_falta_agua-A veces (3-10 veces en las últimas 4 semanas)
325,h0806-4,no_lavado_manos_falta_agua-Frecuentemente (11-20 veces en las últimas 4 semana)
326,h0806-5,no_lavado_manos_falta_agua-Siempre (Más de 20 veces en las últimas 4 semanas)
327,h0806-88,no_lavado_manos_falta_agua-No aplica
328,h0806-99,no_lavado_manos_falta_agua-No sabe
329,h0807-1,no_banio_falta_agua-Nunca (0 veces en las últimas 4 semanas)
330,h0807-2,no_banio_falta_agua-Raramente (1-2 veces en las últimas 4 semanas)
331,h0807-3,no_banio_falta_agua-A veces (3-10 veces en las últimas 4 semanas)
332,h0807-4,no_banio_falta_agua-Frecuentemente (11-20 veces en las últimas 4 semana)
333,h0807-5,no_banio_falta_agua-Siempre (Más de 20 veces en las últimas 4 semanas)
334,h0807-88,no_banio_falta_agua-No aplica
335,h0807-99,no_banio_falta_agua-No sabe
336,h0808-1,no_pudo_beber_agua-Nunca (0 veces en las últimas 4 semanas)
337,h0808-2,no_pudo_beber_agua-Raramente (1-2 veces en las últimas 4 semanas)
338,h0808-3,no_pudo_beber_agua-A veces (3-10 veces en las últimas 4 semanas)
339,h0808-4,no_pudo_beber_agua-Frecuentemente (11-20 veces en las últimas 4 semana)
340,h0808-5,no_pudo_beber_agua-Siempre (Más de 20 veces en las últimas 4 semanas)
341,h0808-88,no_pudo_beber_agua-No aplica
342,h0808-99,no_pudo_beber_agua-No sabe
343,h0809-1,molestias_falta_agua-Nunca (0 veces en las últimas 4 semanas)
344,h0809-2,molestias_falta_agua-Raramente (1-2 veces en las últimas 4 semanas)
345,h0809-3,molestias_falta_agua-A veces (3-10 veces en las últimas 4 semanas)
346,h0809-4,molestias_falta_agua-Frecuentemente (11-20 veces en las últimas 4 semana)
347,h0809-5,molestias_falta_agua-Siempre (Más de 20 veces en las últimas 4 semanas)
348,h0809-88,molestias_falta_agua-No aplica
349,h0809-99,molestias_falta_agua-No sabe
350,h0810-1,no_durmio_falta_agua-Nunca (0 veces en las últimas 4 semanas)
351,h0810-2,no_durmio_falta_agua-Raramente (1-2 veces en las últimas 4 semanas)
352,h0810-3,no_durmio_falta_agua-A veces (3-10 veces en las últimas 4 semanas)
353,h0810-4,no_durmio_falta_agua-Frecuentemente (11-20 veces en las últimas 4 semana)
354,h0810-5,no_durmio_falta_agua-Siempre (Más de 20 veces en las últimas 4 semanas)
355,h0810-88,no_durmio_falta_agua-No aplica
356,h0810-99,no_durmio_falta_agua-No sabe
357,h0811-1,frecuencia_uso_agua_no_potable-Nunca (0 veces en las últimas 4 semanas)
358,h0811-2,frecuencia_uso_agua_no_potable-Raramente (1-2 veces en las últimas 4 semanas)
359,h0811-3,frecuencia_uso_agua_no_potable-A veces (3-10 veces en las últimas 4 semanas)
360,h0811-4,frecuencia_uso_agua_no_potable-Frecuentemente (11-20 veces en las últimas 4 semana)
361,h0811-5,frecuencia_uso_agua_no_potable-Siempre (Más de 20 veces en las últimas 4 semanas)
362,h0811-88,frecuencia_uso_agua_no_potable-No aplica
363,h0811-99,frecuencia_uso_agua_no_potable-No sabe
364,h0812-1,sintio_vergüenza_falta_agua-Nunca (0 veces en las últimas 4 semanas)
365,h0812-2,sintio_vergüenza_falta_agua-Raramente (1-2 veces en las últimas 4 semanas)
366,h0812-3,sintio_vergüenza_falta_agua-A veces (3-10 veces en las últimas 4 semanas)
367,h0812-4,sintio_vergüenza_falta_agua-Frecuentemente (11-20 veces en las últimas 4 semana)
368,h0812-5,sintio_vergüenza_falta_agua-Siempre (Más de 20 veces en las últimas 4 semanas)
369,h0812-88,sintio_vergüenza_falta_agua-No aplica
370,h0812-99,sintio_vergüenza_falta_agua-No sabe
371,h0901a-1,personas_60_mas-Sí
372,h0901a-2,personas_60_mas-No
373,h0901b-1,personas_5_menos-Sí
374,h0901b-2,personas_5_menos-No
375,h0901c-1,personas_embarazadas-Sí
376,h0901c-2,personas_embarazadas-No
377,h1001-1,conocimiento_covid-Enfermedad crónica
378,h1001-2,conocimiento_covid-Enfermedad infecciosa causada por un virus
379,h1001-3,conocimiento_covid-Enfermedad renal
380,h1001-4,conocimiento_covid-Enfermedad causada por estrés o ansiedad
381,h1001-5,conocimiento_covid-No existe esta enfermedad
382,h1001-6,conocimiento_covid-No sabe
383,h1001-7,conocimiento_covid-Otro (especifique)
384,h1001-8,conocimiento_covid-No desea responder
385,h1002-1,uso_cubrebocas-Nada
386,h1002-2,uso_cubrebocas-Pocas veces
387,h1002-3,uso_cubrebocas-A veces
388,h1002-4,uso_cubrebocas-Casi siempre
389,h1002-5,uso_cubrebocas-Siempre
390,h1004-1,quedarse_en_casa-Nada
391,h1004-2,quedarse_en_casa-Pocas veces
392,h1004-3,quedarse_en_casa-A veces
393,h1004-4,quedarse_en_casa-Casi siempre
394,h1004-5,quedarse_en_casa-Siempre
395,h1005a-1,excepciones_quedar_casa_1-Por trabajo
396,h1005a-2,excepciones_quedar_casa_1-Comprar insumos indispensables para el hogar
397,h1005a-3,excepciones_quedar_casa_1-Necesidad en salud
398,h1005a-4,excepciones_quedar_casa_1-No creo estar en riesgo
399,h1005a-5,excepciones_quedar_casa_1-Necesidad de contacto humano
400,h1005a-6,excepciones_quedar_casa_1-No creo que funcione esta medida
401,h1005a-7,excepciones_quedar_casa_1-No me interesa cumplir con esa medida)
402,h1005a-8,excepciones_quedar_casa_1-Sale a ejercitarse
403,h1005a-9,excepciones_quedar_casa_1-Lleva a los niños a la escuela
404,h1005a-10,excepciones_quedar_casa_1-Otro especificar
405,h1005b-1,excepciones_quedar_casa_2-Por trabajo
406,h1005b-2,excepciones_quedar_casa_2-Comprar insumos indispensables para el hogar
407,h1005b-3,excepciones_quedar_casa_2-Necesidad en salud
408,h1005b-4,excepciones_quedar_casa_2-No creo estar en riesgo
409,h1005b-5,excepciones_quedar_casa_2-Necesidad de contacto humano
410,h1005b-6,excepciones_quedar_casa_2-No creo que funcione esta medida
411,h1005b-7,excepciones_quedar_casa_2-No me interesa cumplir con esa medida)
412,h1005b-8,excepciones_quedar_casa_2-Sale a ejercitarse
413,h1005b-9,excepciones_quedar_casa_2-Lleva a los niños a la escuela
414,h1005b-10,excepciones_quedar_casa_2-Otro especificar
415,h1006-1,visita_lugares_concurridos-Nada
416,h1006-2,visita_lugares_concurridos-Pocas veces
417,h1006-3,visita_lugares_concurridos-A veces
418,h1006-4,visita_lugares_concurridos-Casi siempre
419,h1006-5,visita_lugares_concurridos-Siempre
420,h1007a-1,asistio_lugares_concurridos_1-Por trabajo
421,h1007a-2,asistio_lugares_concurridos_1-Comprar insumos indispensables para el hogar
422,h1007a-3,asistio_lugares_concurridos_1-Necesidad en salud
423,h1007a-4,asistio_lugares_concurridos_1-No creo estar en riesgo
424,h1007a-5,asistio_lugares_concurridos_1-Necesidad de contacto humano
425,h1007a-6,asistio_lugares_concurridos_1-No creo que funcione esta medida
426,h1007a-7,asistio_lugares_concurridos_1-No me interesa cumplir con esa medida
427,h1007a-8,asistio_lugares_concurridos_1-Por hacer ejercicio en lugares cerrados (como gimnasios)
428,h1007a-9,asistio_lugares_concurridos_1-Otro especificar
429,h1007b-1,asistio_lugares_concurridos_2-Por trabajo
430,h1007b-2,asistio_lugares_concurridos_2-Comprar insumos indispensables para el hogar
431,h1007b-3,asistio_lugares_concurridos_2-Necesidad en salud
432,h1007b-4,asistio_lugares_concurridos_2-No creo estar en riesgo
433,h1007b-5,asistio_lugares_concurridos_2-Necesidad de contacto humano
434,h1007b-6,asistio_lugares_concurridos_2-No creo que funcione esta medida
435,h1007b-7,asistio_lugares_concurridos_2-No me interesa cumplir con esa medida
436,h1007b-8,asistio_lugares_concurridos_2-Por hacer ejercicio en lugares cerrados (como gimnasios)
437,h1007b-9,asistio_lugares_concurridos_2-Otro especificar
438,h1103a-1,medidas_seguridad_escuela-Sí
439,h1103a-2,medidas_seguridad_escuela-No
440,h1103a-3,medidas_seguridad_escuela-No Sabe
441,h1103b-1,toman_temperatura_escuela-Sí
442,h1103b-2,toman_temperatura_escuela-No
443,h1103b-3,toman_temperatura_escuela-No Sabe
444,h1103c-1,usan_gel_escuela-Sí
445,h1103c-2,usan_gel_escuela-No
446,h1103c-3,usan_gel_escuela-No Sabe
447,h1103d-1,uso_cubrebocas_escuela-Sí
448,h1103d-2,uso_cubrebocas_escuela-No
449,h1103d-3,uso_cubrebocas_escuela-No Sabe
450,h1103e-1,uso_careta_escuela-Sí
451,h1103e-2,uso_careta_escuela-No
452,h1103e-3,uso_careta_escuela-No Sabe
453,h1103f-1,evitar_saludos_escuela-Sí
454,h1103f-2,evitar_saludos_escuela-No
455,h1103f-3,evitar_saludos_escuela-No Sabe
456,h1103g-1,lavodo_manos_escuela-Sí
457,h1103g-2,lavodo_manos_escuela-No
458,h1103g-3,lavodo_manos_escuela-No Sabe
459,h1103h-1,asisten_gripe_escuela-Sí
460,h1103h-2,asisten_gripe_escuela-No
461,h1103h-3,asisten_gripe_escuela-No Sabe
462,h1103i-1,desinfectan_areas_escuela-Sí
463,h1103i-2,desinfectan_areas_escuela-No
464,h1103i-3,desinfectan_areas_escuela-No Sabe
465,h1103j-1,escaldo_acceso_escuela-Sí
466,h1103j-2,escaldo_acceso_escuela-No
467,h1103j-3,escaldo_acceso_escuela-No Sabe
468,h1103k-1,escalado_recreso_escuela-Sí
469,h1103k-2,escalado_recreso_escuela-No
470,h1103k-3,escalado_recreso_escuela-No Sabe
471,h1103l-1,horarios_banio_escuela-Sí
472,h1103l-2,horarios_banio_escuela-No
473,h1103l-3,horarios_banio_escuela-No Sabe
474,h1103m-1,sana_distancia_escuela-Sí
475,h1103m-2,sana_distancia_escuela-No
476,h1103m-3,sana_distancia_escuela-No Sabe
477,h1103n-1,sana_distancia_asientos_escuela-Sí
478,h1103n-2,sana_distancia_asientos_escuela-No
479,h1103n-3,sana_distancia_asientos_escuela-No Sabe
480,h1103o-1,acceso_exclusivo_maestros-Sí
481,h1103o-2,acceso_exclusivo_maestros-No
482,h1103o-3,acceso_exclusivo_maestros-No Sabe
483,h1104a-1,traen_gel_hogar-Sí
484,h1104a-2,traen_gel_hogar-No
485,h1104b-1,traen_cubrebocas_hgar-Sí
486,h1104b-2,traen_cubrebocas_hgar-No
487,h1104c-1,traen_careta_hogar-Sí
488,h1104c-2,traen_careta_hogar-No
489,h1104d-1,traen_jabon_hogar-Sí
490,h1104d-2,traen_jabon_hogar-No
