var-posibles_valores,var_alias-posibles_valores_alias
recogida_basura_vivienda-la entierran?,h0121-5
recogida_basura_vivienda-la tiran en un terreno baldío o calle?,h0121-6
recogida_basura_vivienda-la tiran a la barranca o grieta?,h0121-7
"recogida_basura_vivienda-la tiran al río, lago o mar?",h0121-8
alguna_calefaccion-Sí,h0122-1
alguna_calefaccion-No,h0122-2
medio_calefaccion-Aparato o sistema de calefacción,h0123-1
medio_calefaccion-Calentón,h0123-2
medio_calefaccion-Resistencia,h0123-3
medio_calefaccion-Brasero,h0123-4
medio_calefaccion-Chimenea,h0123-5
medio_calefaccion-Otro,h0123-6
combustible_calefaccion-Gas,h0124-1
combustible_calefaccion-Electricidad,h0124-2
combustible_calefaccion-Queroseno,h0124-3
combustible_calefaccion-Carbón mineral,h0124-4
combustible_calefaccion-Carbón vegetal,h0124-5
combustible_calefaccion-Leña o madera,h0124-6
combustible_calefaccion-Residuos agrícolas o de cultivos,h0124-7
combustible_calefaccion-Estiércol animal,h0124-8
combustible_calefaccion-Matojos o hierba,h0124-9
combustible_calefaccion-Otro combustible,h0124-10
propietario_vivienda-es rentada?,h0125-1
propietario_vivienda-es prestada?,h0125-2
propietario_vivienda-es propia pero la están pagando?,h0125-3
propietario_vivienda-es propia?,h0125-4
propietario_vivienda-está intestada o en litigio?,h0125-5
propietario_vivienda-está en otra situación?,h0125-6
vivienda_calentador_agua-Sí,h0126a-1
vivienda_calentador_agua-No,h0126a-2
vivienda_tinaco-Sí,h0126b-1
vivienda_tinaco-No,h0126b-2
vivienda_aljibe-Sí,h0126c-1
vivienda_aljibe-No,h0126c-2
vivienda_medidor_luz-Sí,h0126d-1
vivienda_medidor_luz-No,h0126d-2
vivienda_aire_acondicionado-Sí,h0126e-1
vivienda_aire_acondicionado-No,h0126e-2
tiene_otra_propiedad-Sí,h0127a-1
tiene_otra_propiedad-No,h0127a-2
tiene_automovil-Sí,h0127b-1
tiene_automovil-No,h0127b-2
tiene_camioneta-Sí,h0127c-1
tiene_camioneta-No,h0127c-2
tiene_motocicleta-Sí,h0127d-1
tiene_motocicleta-No,h0127d-2
tiene_lancha-Sí,h0127e-1
tiene_lancha-No,h0127e-2
"ingresos_totales-1- 5,999 pesos",h0327-1
"ingresos_totales-6,000-9,999 pesos",h0327-2
"ingresos_totales-10,000-13,999 pesos",h0327-3
"ingresos_totales-14,000-21,999 pesos",h0327-4
"ingresos_totales-22,000 o más pesos",h0327-5
ingresos_totales-No percibieron ingresos,h0327-6
ingresos_totales-No quiso responder,h0327-8
ingresos_totales-No sabe,h0327-9
tienen_television-Sí,h0501a-1
tienen_television-No,h0501a-2
tienen_television_paga-Sí,h0501b-1
tienen_television_paga-No,h0501b-2
tienen_radio-Sí,h0501c-1
tienen_radio-No,h0501c-2
tienen_stereo-Sí,h0501d-1
tienen_stereo-No,h0501d-2
tienen_computadora-Sí,h0501e-1
tienen_computadora-No,h0501e-2
tienen_celular-Sí,h0501f-1
tienen_celular-No,h0501f-2
tienen_internet-Sí,h0501g-1
tienen_internet-No,h0501g-2
tienen_telefono_fijo-Sí,h0501h-1
tienen_telefono_fijo-No,h0501h-2
tienen_plancha-Sí,h0501i-1
tienen_plancha-No,h0501i-2
tienen_licuadora-Sí,h0501j-1
tienen_licuadora-No,h0501j-2
tienen_refrigerador-Sí,h0501k-1
tienen_refrigerador-No,h0501k-2
tienen_gas-Sí,h0501l-1
tienen_gas-No,h0501l-2
tienen_estufa_no_gas-Sí,h0501m-1
tienen_estufa_no_gas-No,h0501m-2
tienen_lavadora-Sí,h0501n-1
tienen_lavadora-No,h0501n-2
tienen_horno_microondas-Sí,h0501o-1
tienen_horno_microondas-No,h0501o-2
falta_alimentos_adultos-Sí,h0701-1
falta_alimentos_adultos-No,h0701-2
falta_alimentos_adultos-No responde,h0701-8
falta_alimentos_adultos-No sabe,h0701-9
sin_alimentos_adultos-Sí,h0702-1
sin_alimentos_adultos-No,h0702-2
sin_alimentos_adultos-No responde,h0702-8
sin_alimentos_adultos-No sabe,h0702-9
falta_alimento_nutritivo_adultos-Sí,h0703-1
falta_alimento_nutritivo_adultos-No,h0703-2
falta_alimento_nutritivo_adultos-No responde,h0703-8
falta_alimento_nutritivo_adultos-No sabe,h0703-9
poca_variedad_alimentos_adulto-Sí,h0704-1
poca_variedad_alimentos_adulto-No,h0704-2
poca_variedad_alimentos_adulto-No responde,h0704-8
poca_variedad_alimentos_adulto-No sabe,h0704-9
no_comio_alimentos_adulto-Sí,h0705-1
no_comio_alimentos_adulto-No,h0705-2
no_comio_alimentos_adulto-No responde,h0705-8
no_comio_alimentos_adulto-No sabe,h0705-9
comio_menos_alimentos_adulto-Sí,h0706-1
comio_menos_alimentos_adulto-No,h0706-2
comio_menos_alimentos_adulto-No responde,h0706-8
comio_menos_alimentos_adulto-No sabe,h0706-9
sintio_hambre_adulto-Sí,h0707-1
sintio_hambre_adulto-No,h0707-2
sintio_hambre_adulto-No responde,h0707-8
sintio_hambre_adulto-No sabe,h0707-9
una_o no_comida_adulto-Sí,h0708-1
una_o no_comida_adulto-No,h0708-2
una_o no_comida_adulto-No responde,h0708-8
una_o no_comida_adulto-No sabe,h0708-9
viven_menores_edad-Sí,h0709-1
viven_menores_edad-No,h0709-2
falta_alimento_nutritivo_menor-Sí,h0710-1
falta_alimento_nutritivo_menor-No,h0710-2
falta_alimento_nutritivo_menor-No responde,h0710-8
falta_alimento_nutritivo_menor-No sabe,h0710-9
poca_variedad_alimentos_menor-Sí,h0711-1
poca_variedad_alimentos_menor-No,h0711-2
poca_variedad_alimentos_menor-No responde,h0711-8
poca_variedad_alimentos_menor-No sabe,h0711-9
no_comio_alimentos_menor-Sí,h0712-1
no_comio_alimentos_menor-No,h0712-2
no_comio_alimentos_menor-No responde,h0712-8
no_comio_alimentos_menor-No sabe,h0712-9
comio_menos_alimentos_menor-Sí,h0713-1
comio_menos_alimentos_menor-No,h0713-2
comio_menos_alimentos_menor-No responde,h0713-8
comio_menos_alimentos_menor-No sabe,h0713-9
disminuir_alimento_menor-Sí,h0714-1
disminuir_alimento_menor-No,h0714-2
disminuir_alimento_menor-No responde,h0714-8
disminuir_alimento_menor-No sabe,h0714-9
sintio_hambre_menor-Sí,h0715-1
sintio_hambre_menor-No,h0715-2
sintio_hambre_menor-No responde,h0715-8
sintio_hambre_menor-No sabe,h0715-9
una_o no_comida_menor-Sí,h0716-1
una_o no_comida_menor-No,h0716-2
una_o no_comida_menor-No responde,h0716-8
una_o no_comida_menor-No sabe,h0716-9
preocupacion_acceso_agua-Nunca (0 veces en las últimas 4 semanas),h0801-1
preocupacion_acceso_agua-Raramente (1-2 veces en las últimas 4 semanas),h0801-2
preocupacion_acceso_agua-A veces (3-10 veces en las últimas 4 semanas),h0801-3
preocupacion_acceso_agua-Frecuentemente (11-20 veces en las últimas 4 semana),h0801-4
preocupacion_acceso_agua-Siempre (Más de 20 veces en las últimas 4 semanas),h0801-5
preocupacion_acceso_agua-No aplica,h0801-88
preocupacion_acceso_agua-No sabe,h0801-99
disminucion_acceso_agua-Nunca (0 veces en las últimas 4 semanas),h0802-1
disminucion_acceso_agua-Raramente (1-2 veces en las últimas 4 semanas),h0802-2
disminucion_acceso_agua-A veces (3-10 veces en las últimas 4 semanas),h0802-3
disminucion_acceso_agua-Frecuentemente (11-20 veces en las últimas 4 semana),h0802-4
disminucion_acceso_agua-Siempre (Más de 20 veces en las últimas 4 semanas),h0802-5
disminucion_acceso_agua-No aplica,h0802-88
disminucion_acceso_agua-No sabe,h0802-99
agua_lavar_ropa-Nunca (0 veces en las últimas 4 semanas),h0803-1
agua_lavar_ropa-Raramente (1-2 veces en las últimas 4 semanas),h0803-2
agua_lavar_ropa-A veces (3-10 veces en las últimas 4 semanas),h0803-3
agua_lavar_ropa-Frecuentemente (11-20 veces en las últimas 4 semana),h0803-4
agua_lavar_ropa-Siempre (Más de 20 veces en las últimas 4 semanas),h0803-5
agua_lavar_ropa-No aplica,h0803-88
agua_lavar_ropa-No sabe,h0803-99
cambio_planes_falta_agua-Nunca (0 veces en las últimas 4 semanas),h0804-1
cambio_planes_falta_agua-Raramente (1-2 veces en las últimas 4 semanas),h0804-2
cambio_planes_falta_agua-A veces (3-10 veces en las últimas 4 semanas),h0804-3
cambio_planes_falta_agua-Frecuentemente (11-20 veces en las últimas 4 semana),h0804-4
cambio_planes_falta_agua-Siempre (Más de 20 veces en las últimas 4 semanas),h0804-5
cambio_planes_falta_agua-No aplica,h0804-88
cambio_planes_falta_agua-No sabe,h0804-99
cambio_comida_falta_agua-Nunca (0 veces en las últimas 4 semanas),h0805-1
cambio_comida_falta_agua-Raramente (1-2 veces en las últimas 4 semanas),h0805-2
cambio_comida_falta_agua-A veces (3-10 veces en las últimas 4 semanas),h0805-3
cambio_comida_falta_agua-Frecuentemente (11-20 veces en las últimas 4 semana),h0805-4
cambio_comida_falta_agua-Siempre (Más de 20 veces en las últimas 4 semanas),h0805-5
cambio_comida_falta_agua-No aplica,h0805-88
cambio_comida_falta_agua-No sabe,h0805-99
no_lavado_manos_falta_agua-Nunca (0 veces en las últimas 4 semanas),h0806-1
no_lavado_manos_falta_agua-Raramente (1-2 veces en las últimas 4 semanas),h0806-2
no_lavado_manos_falta_agua-A veces (3-10 veces en las últimas 4 semanas),h0806-3
no_lavado_manos_falta_agua-Frecuentemente (11-20 veces en las últimas 4 semana),h0806-4
no_lavado_manos_falta_agua-Siempre (Más de 20 veces en las últimas 4 semanas),h0806-5
no_lavado_manos_falta_agua-No aplica,h0806-88
no_lavado_manos_falta_agua-No sabe,h0806-99
no_banio_falta_agua-Nunca (0 veces en las últimas 4 semanas),h0807-1
no_banio_falta_agua-Raramente (1-2 veces en las últimas 4 semanas),h0807-2
no_banio_falta_agua-A veces (3-10 veces en las últimas 4 semanas),h0807-3
no_banio_falta_agua-Frecuentemente (11-20 veces en las últimas 4 semana),h0807-4
no_banio_falta_agua-Siempre (Más de 20 veces en las últimas 4 semanas),h0807-5
no_banio_falta_agua-No aplica,h0807-88
no_banio_falta_agua-No sabe,h0807-99
no_pudo_beber_agua-Nunca (0 veces en las últimas 4 semanas),h0808-1
no_pudo_beber_agua-Raramente (1-2 veces en las últimas 4 semanas),h0808-2
no_pudo_beber_agua-A veces (3-10 veces en las últimas 4 semanas),h0808-3
no_pudo_beber_agua-Frecuentemente (11-20 veces en las últimas 4 semana),h0808-4
no_pudo_beber_agua-Siempre (Más de 20 veces en las últimas 4 semanas),h0808-5
no_pudo_beber_agua-No aplica,h0808-88
no_pudo_beber_agua-No sabe,h0808-99
molestias_falta_agua-Nunca (0 veces en las últimas 4 semanas),h0809-1
molestias_falta_agua-Raramente (1-2 veces en las últimas 4 semanas),h0809-2
molestias_falta_agua-A veces (3-10 veces en las últimas 4 semanas),h0809-3
molestias_falta_agua-Frecuentemente (11-20 veces en las últimas 4 semana),h0809-4
molestias_falta_agua-Siempre (Más de 20 veces en las últimas 4 semanas),h0809-5
molestias_falta_agua-No aplica,h0809-88
molestias_falta_agua-No sabe,h0809-99
no_durmio_falta_agua-Nunca (0 veces en las últimas 4 semanas),h0810-1
no_durmio_falta_agua-Raramente (1-2 veces en las últimas 4 semanas),h0810-2
no_durmio_falta_agua-A veces (3-10 veces en las últimas 4 semanas),h0810-3
no_durmio_falta_agua-Frecuentemente (11-20 veces en las últimas 4 semana),h0810-4
no_durmio_falta_agua-Siempre (Más de 20 veces en las últimas 4 semanas),h0810-5
no_durmio_falta_agua-No aplica,h0810-88
no_durmio_falta_agua-No sabe,h0810-99
frecuencia_uso_agua_no_potable-Nunca (0 veces en las últimas 4 semanas),h0811-1
frecuencia_uso_agua_no_potable-Raramente (1-2 veces en las últimas 4 semanas),h0811-2
frecuencia_uso_agua_no_potable-A veces (3-10 veces en las últimas 4 semanas),h0811-3
frecuencia_uso_agua_no_potable-Frecuentemente (11-20 veces en las últimas 4 semana),h0811-4
frecuencia_uso_agua_no_potable-Siempre (Más de 20 veces en las últimas 4 semanas),h0811-5
frecuencia_uso_agua_no_potable-No aplica,h0811-88
frecuencia_uso_agua_no_potable-No sabe,h0811-99
sintio_vergüenza_falta_agua-Nunca (0 veces en las últimas 4 semanas),h0812-1
sintio_vergüenza_falta_agua-Raramente (1-2 veces en las últimas 4 semanas),h0812-2
sintio_vergüenza_falta_agua-A veces (3-10 veces en las últimas 4 semanas),h0812-3
sintio_vergüenza_falta_agua-Frecuentemente (11-20 veces en las últimas 4 semana),h0812-4
sintio_vergüenza_falta_agua-Siempre (Más de 20 veces en las últimas 4 semanas),h0812-5
sintio_vergüenza_falta_agua-No aplica,h0812-88
sintio_vergüenza_falta_agua-No sabe,h0812-99
personas_60_mas-Sí,h0901a-1
personas_60_mas-No,h0901a-2
personas_5_menos-Sí,h0901b-1
personas_5_menos-No,h0901b-2
personas_embarazadas-Sí,h0901c-1
personas_embarazadas-No,h0901c-2
conocimiento_covid-Enfermedad crónica,h1001-1
conocimiento_covid-Enfermedad infecciosa causada por un virus,h1001-2
conocimiento_covid-Enfermedad renal,h1001-3
conocimiento_covid-Enfermedad causada por estrés o ansiedad,h1001-4
conocimiento_covid-No existe esta enfermedad,h1001-5
conocimiento_covid-No sabe,h1001-6
conocimiento_covid-Otro (especifique),h1001-7
conocimiento_covid-No desea responder,h1001-8
uso_cubrebocas-Nada,h1002-1
uso_cubrebocas-Pocas veces,h1002-2
uso_cubrebocas-A veces,h1002-3
uso_cubrebocas-Casi siempre,h1002-4
uso_cubrebocas-Siempre,h1002-5
quedarse_en_casa-Nada,h1004-1
quedarse_en_casa-Pocas veces,h1004-2
quedarse_en_casa-A veces,h1004-3
quedarse_en_casa-Casi siempre,h1004-4
quedarse_en_casa-Siempre,h1004-5
excepciones_quedar_casa_1-Por trabajo,h1005a-1
excepciones_quedar_casa_1-Comprar insumos indispensables para el hogar,h1005a-2
excepciones_quedar_casa_1-Necesidad en salud,h1005a-3
excepciones_quedar_casa_1-No creo estar en riesgo,h1005a-4
excepciones_quedar_casa_1-Necesidad de contacto humano,h1005a-5
excepciones_quedar_casa_1-No creo que funcione esta medida,h1005a-6
excepciones_quedar_casa_1-No me interesa cumplir con esa medida),h1005a-7
excepciones_quedar_casa_1-Sale a ejercitarse,h1005a-8
excepciones_quedar_casa_1-Lleva a los niños a la escuela,h1005a-9
excepciones_quedar_casa_1-Otro especificar,h1005a-10
excepciones_quedar_casa_2-Por trabajo,h1005b-1
excepciones_quedar_casa_2-Comprar insumos indispensables para el hogar,h1005b-2
excepciones_quedar_casa_2-Necesidad en salud,h1005b-3
excepciones_quedar_casa_2-No creo estar en riesgo,h1005b-4
excepciones_quedar_casa_2-Necesidad de contacto humano,h1005b-5
excepciones_quedar_casa_2-No creo que funcione esta medida,h1005b-6
excepciones_quedar_casa_2-No me interesa cumplir con esa medida),h1005b-7
excepciones_quedar_casa_2-Sale a ejercitarse,h1005b-8
excepciones_quedar_casa_2-Lleva a los niños a la escuela,h1005b-9
excepciones_quedar_casa_2-Otro especificar,h1005b-10
visita_lugares_concurridos-Nada,h1006-1
visita_lugares_concurridos-Pocas veces,h1006-2
visita_lugares_concurridos-A veces,h1006-3
visita_lugares_concurridos-Casi siempre,h1006-4
visita_lugares_concurridos-Siempre,h1006-5
asistio_lugares_concurridos_1-Por trabajo,h1007a-1
asistio_lugares_concurridos_1-Comprar insumos indispensables para el hogar,h1007a-2
asistio_lugares_concurridos_1-Necesidad en salud,h1007a-3
asistio_lugares_concurridos_1-No creo estar en riesgo,h1007a-4
asistio_lugares_concurridos_1-Necesidad de contacto humano,h1007a-5
asistio_lugares_concurridos_1-No creo que funcione esta medida,h1007a-6
asistio_lugares_concurridos_1-No me interesa cumplir con esa medida,h1007a-7
asistio_lugares_concurridos_1-Por hacer ejercicio en lugares cerrados (como gimnasios),h1007a-8
asistio_lugares_concurridos_1-Otro especificar,h1007a-9
asistio_lugares_concurridos_2-Por trabajo,h1007b-1
asistio_lugares_concurridos_2-Comprar insumos indispensables para el hogar,h1007b-2
asistio_lugares_concurridos_2-Necesidad en salud,h1007b-3
asistio_lugares_concurridos_2-No creo estar en riesgo,h1007b-4
asistio_lugares_concurridos_2-Necesidad de contacto humano,h1007b-5
asistio_lugares_concurridos_2-No creo que funcione esta medida,h1007b-6
asistio_lugares_concurridos_2-No me interesa cumplir con esa medida,h1007b-7
asistio_lugares_concurridos_2-Por hacer ejercicio en lugares cerrados (como gimnasios),h1007b-8
asistio_lugares_concurridos_2-Otro especificar,h1007b-9
medidas_seguridad_escuela-Sí,h1103a-1
medidas_seguridad_escuela-No,h1103a-2
medidas_seguridad_escuela-No Sabe,h1103a-3
toman_temperatura_escuela-Sí,h1103b-1
toman_temperatura_escuela-No,h1103b-2
toman_temperatura_escuela-No Sabe,h1103b-3
usan_gel_escuela-Sí,h1103c-1
usan_gel_escuela-No,h1103c-2
usan_gel_escuela-No Sabe,h1103c-3
uso_cubrebocas_escuela-Sí,h1103d-1
uso_cubrebocas_escuela-No,h1103d-2
uso_cubrebocas_escuela-No Sabe,h1103d-3
uso_careta_escuela-Sí,h1103e-1
uso_careta_escuela-No,h1103e-2
uso_careta_escuela-No Sabe,h1103e-3
evitar_saludos_escuela-Sí,h1103f-1
evitar_saludos_escuela-No,h1103f-2
evitar_saludos_escuela-No Sabe,h1103f-3
lavodo_manos_escuela-Sí,h1103g-1
lavodo_manos_escuela-No,h1103g-2
lavodo_manos_escuela-No Sabe,h1103g-3
asisten_gripe_escuela-Sí,h1103h-1
asisten_gripe_escuela-No,h1103h-2
asisten_gripe_escuela-No Sabe,h1103h-3
desinfectan_areas_escuela-Sí,h1103i-1
desinfectan_areas_escuela-No,h1103i-2
desinfectan_areas_escuela-No Sabe,h1103i-3
escaldo_acceso_escuela-Sí,h1103j-1
escaldo_acceso_escuela-No,h1103j-2
escaldo_acceso_escuela-No Sabe,h1103j-3
escalado_recreso_escuela-Sí,h1103k-1
escalado_recreso_escuela-No,h1103k-2
escalado_recreso_escuela-No Sabe,h1103k-3
horarios_banio_escuela-Sí,h1103l-1
horarios_banio_escuela-No,h1103l-2
horarios_banio_escuela-No Sabe,h1103l-3
sana_distancia_escuela-Sí,h1103m-1
sana_distancia_escuela-No,h1103m-2
sana_distancia_escuela-No Sabe,h1103m-3
sana_distancia_asientos_escuela-Sí,h1103n-1
sana_distancia_asientos_escuela-No,h1103n-2
sana_distancia_asientos_escuela-No Sabe,h1103n-3
acceso_exclusivo_maestros-Sí,h1103o-1
acceso_exclusivo_maestros-No,h1103o-2
acceso_exclusivo_maestros-No Sabe,h1103o-3
traen_gel_hogar-Sí,h1104a-1
traen_gel_hogar-No,h1104a-2
traen_cubrebocas_hgar-Sí,h1104b-1
traen_cubrebocas_hgar-No,h1104b-2
traen_careta_hogar-Sí,h1104c-1
traen_careta_hogar-No,h1104c-2
traen_jabon_hogar-Sí,h1104d-1
traen_jabon_hogar-No,h1104d-2
consumo_frutas_covid-Aumentó ?,h1301-1
consumo_frutas_covid-Disminuyó ?,h1301-2
consumo_frutas_covid-Fue igual ?,h1301-3
consumo_frutas_covid-No sabe/no responde,h1301-4
consumo_verduras_covid-Aumentó ?,h1302-1
consumo_verduras_covid-Disminuyó ?,h1302-2
consumo_verduras_covid-Fue igual ?,h1302-3
consumo_verduras_covid-No sabe/no responde,h1302-4
consumo_legumbres_covid-Aumentó ?,h1303-1
consumo_legumbres_covid-Disminuyó ?,h1303-2
consumo_legumbres_covid-Fue igual ?,h1303-3
consumo_legumbres_covid-No sabe/no responde,h1303-4
consumo_carnes_covid-Aumentó ?,h1304-1
consumo_carnes_covid-Disminuyó ?,h1304-2
consumo_carnes_covid-Fue igual ?,h1304-3
consumo_carnes_covid-No sabe/no responde,h1304-4
consumo_leche__covid-Aumentó ?,h1305-1
consumo_leche__covid-Disminuyó ?,h1305-2
consumo_leche__covid-Fue igual ?,h1305-3
consumo_leche__covid-No sabe/no responde,h1305-4
consumo_tortillas_covid-Aumentó ?,h1306-1
consumo_tortillas_covid-Disminuyó ?,h1306-2
consumo_tortillas_covid-Fue igual ?,h1306-3
consumo_tortillas_covid-No sabe/no responde,h1306-4
consumo_harina_covid-Aumentó ?,h1307-1
consumo_harina_covid-Disminuyó ?,h1307-2
consumo_harina_covid-Fue igual ?,h1307-3
consumo_harina_covid-No sabe/no responde,h1307-4
consumo_dulces_covid-Aumentó ?,h1308-1
consumo_dulces_covid-Disminuyó ?,h1308-2
consumo_dulces_covid-Fue igual ?,h1308-3
consumo_dulces_covid-No sabe/no responde,h1308-4
consumo_botanas_covid-Aumentó ?,h1309-1
consumo_botanas_covid-Disminuyó ?,h1309-2
consumo_botanas_covid-Fue igual ?,h1309-3
consumo_botanas_covid-No sabe/no responde,h1309-4
consumo_pan_dulce_covid-Aumentó ?,h1310-1
consumo_pan_dulce_covid-Disminuyó ?,h1310-2
consumo_pan_dulce_covid-Fue igual ?,h1310-3
consumo_pan_dulce_covid-No sabe/no responde,h1310-4
