subcategoria,var,var_alias,description,visibility,var_type,is_category,values,campo_unificado,class
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,estufa_cocinar_otra,h0110esp,Otro tipo de estufa para cocinar,visible,abierta,FALSE,"{'is_category': 'false', 'min': 0, 'max': 0}",estufa_cocinar_otra,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,luz_electrica_vivienda,h0111,¿Hay luz eléctrica en esta vivienda?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",luz_electrica_vivienda,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,agua_entubada_vivienda,h0112,¿Esta vivienda tiene agua entubada...,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'dentro de la vivienda?', '2': 'solo en el terreno?', '3': 'no tiene agua entubada?'}}",agua_entubada_vivienda,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,origen_agua_entubada,h0113,¿El agua entubada que llega a su vivienda viene...,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'del servicio público de agua?', '2': 'de un pozo?', '3': 'de una pipa?', '4': 'de otra vivienda?', '5': 'de otro lugar?'}}",origen_agua_entubada,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,otro_origen_agua,h0114,"Entonces, ¿el agua que usan en esta vivienda...",visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'la sacan o acarrean de un pozo?', '2': 'la acarrean de una toma o llave comunitaria?', '3': 'la traen de otra vivienda?', '4': 'la trae una pipa?', '5': 'la acarrean de un río, arroyo o lago?', '6': 'la captan de la lluvia?'}}",otro_origen_agua,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,jabon_lavado_manos,h0115,¿Tiene algún jabón o detergente o ceniza/barro/arena en el hogar para lavarse las manos?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No', '8': 'NS/NR'}}",jabon_lavado_manos,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,muestra_jabon,h0116,"¿Podría mostrármelo, por favor?",visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí, mostrado', '2': 'No, mostrado'}}",muestra_jabon,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,tipo_jabon_1,h0117a,Anote la observación: Tipo de jabón 1 ,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Jabón en pastilla', '2': 'Detergente (en polvo / liquido / en pasta)', '3': 'Jabón liquido', '4': 'Ceniza, barro o arena'}}",tipo_jabon_1,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,tipo_jabon_2,h0117b,Anote la observación: Tipo de jabón 2,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Jabón en pastilla', '2': 'Detergente (en polvo / liquido / en pasta)', '3': 'Jabón liquido', '4': 'Ceniza, barro o arena'}}",tipo_jabon_2,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,tipo_jabon_3,h0117c,Anote la observación: Tipo de jabón 3,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Jabón en pastilla', '2': 'Detergente (en polvo / liquido / en pasta)', '3': 'Jabón liquido', '4': 'Ceniza, barro o arena'}}",tipo_jabon_3,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,vivienda_tiene_drenaje,h0118,¿Esta vivienda tiene drenaje o desagüe conectado a...,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'la red pública?', '2': 'una fosa séptica o tanque séptico (biodigestor)?', '3': 'una tubería que va a dar a una barranca o grieta?', '4': 'una tubería que va a dar a un río, lago o mar?', '5': '¿No tiene drenaje?'}}",vivienda_tiene_drenaje,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,servicio_sanitario,h0119,¿El servicio sanitario...,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'tiene descarga directa de agua?', '2': 'le echan agua con cubeta?', '3': 'no se le puede echar agua?', '4': 'no tiene servicio sanitario?'}}",servicio_sanitario,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,servicio_sanitario_compartido,h0120,¿Este servicio sanitario lo comparten con otra vivienda?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",servicio_sanitario_compartido,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,recogida_basura_vivienda,h0121,¿La basura de esta vivienda...,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'la recoge un camión o un carrito de basura?', '2': 'la tiran en el basurero público?', '3': 'la tiran en un contenedor o depósito?', '4': 'la queman?', '5': 'la entierran?', '6': 'la tiran en un terreno baldío o calle?', '7': 'la tiran a la barranca o grieta?', '8': 'la tiran al río, lago o mar?'}}",recogida_basura_vivienda,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,alguna_calefaccion,h0122,"Cuando hace frío, ¿usan o hacen algo para calentar la vivienda?",visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",alguna_calefaccion,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,medio_calefaccion,h0123,¿Qué utilizan para calentar la vivienda?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Aparato o sistema de calefacción', '2': 'Calentón', '3': 'Resistencia', '4': 'Brasero', '5': 'Chimenea', '6': 'Otro'}}",medio_calefaccion,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,combustible_calefaccion,h0124,¿Qué combustible usan?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Gas', '2': 'Electricidad', '3': 'Queroseno', '4': 'Carbón mineral', '5': 'Carbón vegetal', '6': 'Leña o madera', '7': 'Residuos agrícolas o de cultivos', '8': 'Estiércol animal', '9': 'Matojos o hierba', '10': 'Otro combustible'}}",combustible_calefaccion,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,propietario_vivienda,h0125,¿Esta vivienda...,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'es rentada?', '2': 'es prestada?', '3': 'es propia pero la están pagando?', '4': 'es propia?', '5': 'está intestada o en litigio?', '6': 'está en otra situación?'}}",propietario_vivienda,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,vivienda_calentador_agua,h0126a,¿Esta vivienda tiene calentador de agua?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",vivienda_calentador_agua,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,vivienda_tinaco,h0126b,¿Esta vivienda tiene tinaco?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",vivienda_tinaco,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,vivienda_aljibe,h0126c,¿Esta vivienda tiene cisterna o aljibe?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",vivienda_aljibe,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,vivienda_medidor_luz,h0126d,¿Esta vivienda tiene medidor de luz?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",vivienda_medidor_luz,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,vivienda_aire_acondicionado,h0126e,¿Esta vivienda tiene aire acondicionado?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",vivienda_aire_acondicionado,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,tiene_otra_propiedad,h0127a,"¿Usted o alguien de la vivienda tiene otra casa, construcción, inmueble o terreno?",visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",tiene_otra_propiedad,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,tiene_automovil,h0127b,¿Usted o alguien de la vivienda tiene automóvil?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",tiene_automovil,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,tiene_camioneta,h0127c,¿Usted o alguien de la vivienda tiene camioneta?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",tiene_camioneta,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,tiene_motocicleta,h0127d,¿Usted o alguien de la vivienda tiene motocicleta o motoneta?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",tiene_motocicleta,FALSE
SOCIO-ECONÓMICOS. CARACTERÍSTCAS DE LA VIVIENDA,tiene_lancha,h0127e,"¿Usted o alguien de la vivienda tiene otro vehículo (como lancha, trajinera o canoa)?",visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",tiene_lancha,FALSE
SOCIO-ECONÓMICOS. IDENTIFICACIÓN DE HOGARES,cuantos_viven_hogar,h0204,¿Cuántas personas viven normalmente en este hogar?,visible,abierta,FALSE,"{'is_category': 'false', 'options': {}}",cuantos_viven_hogar,FALSE
SOCIO-ECONÓMICOS. IDENTIFICACIÓN DE HOGARES,imformante,h305i,¿Nombre del informante?,visible,abierta,FALSE,"{'is_category': 'false', 'options': {}}",imformante,FALSE
SOCIO-ECONÓMICOS. IDENTIFICACIÓN DE HOGARES,ingresos_totales,h0327,"Aproximadamente, ¿Cuánto dinero ganan regularmente todos los miembros del hogar al mes?",visible,options,TRUE,"{'is_category': 'true', 'options': {'1': '1- 5,999 pesos', '2': '6,000-9,999 pesos', '3': '10,000-13,999 pesos', '4': '14,000-21,999 pesos', '5': '22,000 o más pesos', '6': 'No percibieron ingresos', '8': 'No quiso responder', '9': 'No sabe'}}",ingresos_totales,FALSE
SOCIO-ECONÓMICOS.  SITUACIÓN DE SALUD Y UTILIZACIÓN DE LOS SERVICIOS DE SALUD,tienen_television,h0501a,¿Usted o algún integrante de su hogar tiene televisión?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",tienen_television,FALSE
SOCIO-ECONÓMICOS.  SITUACIÓN DE SALUD Y UTILIZACIÓN DE LOS SERVICIOS DE SALUD,tienen_television_paga,h0501b,¿Usted o algún integrante de su hogar tiene servicio de TV de paga?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",tienen_television_paga,FALSE
SOCIO-ECONÓMICOS.  SITUACIÓN DE SALUD Y UTILIZACIÓN DE LOS SERVICIOS DE SALUD,tienen_radio,h0501c,¿Usted o algún integrante de su hogar tiene radio?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",tienen_radio,FALSE
SOCIO-ECONÓMICOS.  SITUACIÓN DE SALUD Y UTILIZACIÓN DE LOS SERVICIOS DE SALUD,tienen_stereo,h0501d,"¿Usted o algún integrante de su hogar tiene modulares, consola, estéreo o bocina?",visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",tienen_stereo,FALSE
SOCIO-ECONÓMICOS.  SITUACIÓN DE SALUD Y UTILIZACIÓN DE LOS SERVICIOS DE SALUD,tienen_computadora,h0501e,"¿Usted o algún integrante de su hogar tiene computadora de escritorio, laptop o tablet?",visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",tienen_computadora,FALSE
SOCIO-ECONÓMICOS.  SITUACIÓN DE SALUD Y UTILIZACIÓN DE LOS SERVICIOS DE SALUD,tienen_celular,h0501f,¿Usted o algún integrante de su hogar tiene teléfono celular?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",tienen_celular,FALSE
SOCIO-ECONÓMICOS.  SITUACIÓN DE SALUD Y UTILIZACIÓN DE LOS SERVICIOS DE SALUD,tienen_internet,h0501g,¿Usted o algún integrante de su hogar tiene servicio de internet?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",tienen_internet,FALSE
SOCIO-ECONÓMICOS.  SITUACIÓN DE SALUD Y UTILIZACIÓN DE LOS SERVICIOS DE SALUD,tienen_telefono_fijo,h0501h,¿Usted o algún integrante de su hogar tiene línea telefónica fija?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",tienen_telefono_fijo,FALSE
SOCIO-ECONÓMICOS.  SITUACIÓN DE SALUD Y UTILIZACIÓN DE LOS SERVICIOS DE SALUD,tienen_plancha,h0501i,¿Usted o algún integrante de su hogar tiene plancha?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",tienen_plancha,FALSE
SOCIO-ECONÓMICOS.  SITUACIÓN DE SALUD Y UTILIZACIÓN DE LOS SERVICIOS DE SALUD,tienen_licuadora,h0501j,¿Usted o algún integrante de su hogar tiene licuadora?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",tienen_licuadora,FALSE
SOCIO-ECONÓMICOS.  SITUACIÓN DE SALUD Y UTILIZACIÓN DE LOS SERVICIOS DE SALUD,tienen_refrigerador,h0501k,¿Usted o algún integrante de su hogar tiene refrigerador?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",tienen_refrigerador,FALSE
SOCIO-ECONÓMICOS.  SITUACIÓN DE SALUD Y UTILIZACIÓN DE LOS SERVICIOS DE SALUD,tienen_gas,h0501l,¿Usted o algún integrante de su hogar tiene estufa de gas?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",tienen_gas,FALSE
SOCIO-ECONÓMICOS.  SITUACIÓN DE SALUD Y UTILIZACIÓN DE LOS SERVICIOS DE SALUD,tienen_estufa_no_gas,h0501m,¿Usted o algún integrante de su hogar tiene estufa de otro combustible o parrilla eléctrica?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",tienen_estufa_no_gas,FALSE
SOCIO-ECONÓMICOS.  SITUACIÓN DE SALUD Y UTILIZACIÓN DE LOS SERVICIOS DE SALUD,tienen_lavadora,h0501n,¿Usted o algún integrante de su hogar tiene lavadora o secadora?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",tienen_lavadora,FALSE
SOCIO-ECONÓMICOS.  SITUACIÓN DE SALUD Y UTILIZACIÓN DE LOS SERVICIOS DE SALUD,tienen_horno_microondas,h0501o,¿Usted o algún integrante de su hogar tiene horno de microondas?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",tienen_horno_microondas,FALSE
SOCIO-ECONÓMICOS. SEGURIDAD ALIMENTARIA,falta_alimentos_adultos,h0701,"En los últimos tres meses, por falta de dinero u otros recursos, ¿alguna vez usted se preocupó de que los alimentos se acabaran en su hogar?",visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No', '8': 'No responde', '9': 'No sabe'}}",falta_alimentos_adultos,FALSE
SOCIO-ECONÓMICOS. SEGURIDAD ALIMENTARIA,sin_alimentos_adultos,h0702,"En los últimos tres meses, por falta de dinero u otros recursos, ¿alguna vez en su hogar se quedaron sin alimentos?",visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No', '8': 'No responde', '9': 'No sabe'}}",sin_alimentos_adultos,FALSE
SOCIO-ECONÓMICOS. SEGURIDAD ALIMENTARIA,falta_alimento_nutritivo_adultos,h0703,"En los últimos tres meses, por falta de dinero u otros recursos, ¿alguna vez en su hogar dejaron de tener una alimentación saludable, nutritiva, balanceada, equilibrada?",visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No', '8': 'No responde', '9': 'No sabe'}}",falta_alimento_nutritivo_adultos,FALSE
SOCIO-ECONÓMICOS. SEGURIDAD ALIMENTARIA,poca_variedad_alimentos_adulto,h0704,"En los últimos tres meses, por falta de dinero u otros recursos, ¿alguna vez usted o algún adulto en su hogar tuvo una alimentación basada en poca variedad de alimentos?",visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No', '8': 'No responde', '9': 'No sabe'}}",poca_variedad_alimentos_adulto,FALSE
SOCIO-ECONÓMICOS. SEGURIDAD ALIMENTARIA,no_comio_alimentos_adulto,h0705,"En los últimos tres meses, por falta de dinero u otros recursos, ¿alguna vez usted o algún adulto en su hogar dejó de desayunar, comer, almorzar o cenar?",visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No', '8': 'No responde', '9': 'No sabe'}}",no_comio_alimentos_adulto,FALSE
SOCIO-ECONÓMICOS. SEGURIDAD ALIMENTARIA,comio_menos_alimentos_adulto,h0706,"En los últimos tres meses, por falta de dinero u otros recursos, ¿alguna vez usted o algún adulto en su hogar comió menos de lo que debía comer?",visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No', '8': 'No responde', '9': 'No sabe'}}",comio_menos_alimentos_adulto,FALSE
SOCIO-ECONÓMICOS. SEGURIDAD ALIMENTARIA,sintio_hambre_adulto,h0707," En los últimos tres meses, por falta de dinero u otros recursos, ¿alguna vez usted o algún adulto en su hogar sintió hambre pero no comió?",visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No', '8': 'No responde', '9': 'No sabe'}}",sintio_hambre_adulto,FALSE
SOCIO-ECONÓMICOS. SEGURIDAD ALIMENTARIA,una_o no_comida_adulto,h0708,"En los últimos tres meses, por falta de dinero u otros recursos, ¿alguna vez usted o algún adulto en su hogar solo comió una vez al día o dejó de comer todo un día?",visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No', '8': 'No responde', '9': 'No sabe'}}",una_o no_comida_adulto,FALSE
SOCIO-ECONÓMICOS. SEGURIDAD ALIMENTARIA,viven_menores_edad,h0709,¿En su hogar viven personas menores de 18 años?,visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No'}}",viven_menores_edad,FALSE
SOCIO-ECONÓMICOS. SEGURIDAD ALIMENTARIA,falta_alimento_nutritivo_menor,h0710,"En los últimos tres meses, por falta de dinero u otros recursos, ¿alguna vez algún menor de 18 años en su hogar dejó de tener una alimentación saludable, nutritiva, balanceada, equilibrada?",visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No', '8': 'No responde', '9': 'No sabe'}}",falta_alimento_nutritivo_menor,FALSE
SOCIO-ECONÓMICOS. SEGURIDAD ALIMENTARIA,poca_variedad_alimentos_menor,h0711,"En los últimos tres meses, por falta de dinero u otros recursos, ¿alguna vez algún menor de 18 años en su hogar tuvo una alimentación basada en poca variedad de alimentos?",visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No', '8': 'No responde', '9': 'No sabe'}}",poca_variedad_alimentos_menor,FALSE
SOCIO-ECONÓMICOS. SEGURIDAD ALIMENTARIA,no_comio_alimentos_menor,h0712,"En los últimos tres meses, por falta de dinero u otros recursos, ¿alguna vez algún menor de 18 años en su hogar dejó de desayunar, comer, almorzar o cenar?",visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No', '8': 'No responde', '9': 'No sabe'}}",no_comio_alimentos_menor,FALSE
SOCIO-ECONÓMICOS. SEGURIDAD ALIMENTARIA,comio_menos_alimentos_menor,h0713,"En los últimos tres meses, por falta de dinero u otros recursos, ¿alguna vez algún menor de 18 años en su hogar comió menos de lo que debía?",visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No', '8': 'No responde', '9': 'No sabe'}}",comio_menos_alimentos_menor,FALSE
SOCIO-ECONÓMICOS. SEGURIDAD ALIMENTARIA,disminuir_alimento_menor,h0714,"En los últimos tres meses, por falta de dinero u otros recursos, ¿alguna vez tuvieron que disminuir la cantidad servida en las comidas a algún menor de 18 años en su hogar?",visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No', '8': 'No responde', '9': 'No sabe'}}",disminuir_alimento_menor,FALSE
SOCIO-ECONÓMICOS. SEGURIDAD ALIMENTARIA,sintio_hambre_menor,h0715,"En los últimos tres meses, por falta de dinero u otros recursos, ¿alguna vez algún menor de 18 años en su hogar sintió hambre pero no comió?",visible,options,TRUE,"{'is_category': 'true', 'options': {'1': 'Sí', '2': 'No', '8': 'No responde', '9': 'No sabe'}}",sintio_hambre_menor,FALSE
